Year,Month,State,cdd,hdd,pcp,tavg,tmax,tmin
2021,4,South Dakota,0.0,630.0,1.48,43.6,57.1,30.1
2021,4,Tennessee,7.0,271.0,2.82,56.2,69.1,43.4
2021,4,Texas,101.0,78.0,2.14,63.7,76.1,51.3
2021,4,Utah,2.0,611.0,0.73,47.4,61.6,33.2
2021,4,Vermont,0.0,644.0,3.89,43.2,54.4,32.0
2021,4,Virginia,4.0,281.0,2.73,55.3,68.2,42.3
2021,4,Washington,0.0,472.0,0.99,46.8,59.3,34.2
2021,4,West Virginia,0.0,393.0,3.22,51.3,64.0,38.5
2021,4,Wisconsin,0.0,550.0,2.36,45.0,55.9,34.0
2021,4,Wyoming,0.0,793.0,1.21,38.0,51.4,24.5
2021,5,Alabama,150.0,37.0,4.69,69.4,81.0,57.7
2021,5,Alaska,,,2.15,40.3,49.1,31.4
2021,5,Arizona,313.0,15.0,0.04,67.9,84.6,51.2
2021,5,Arkansas,99.0,65.0,6.73,66.8,77.0,56.6
2021,5,California,53.0,125.0,0.11,64.5,78.9,50.2
2021,5,Colorado,1.0,392.0,2.99,52.9,66.2,39.5
2021,5,Connecticut,10.0,222.0,5.51,57.8,69.3,46.3
2021,5,Delaware,42.0,117.0,3.04,63.3,75.2,51.4
2021,5,Florida,389.0,0.0,1.53,76.1,87.4,64.9
2021,5,Georgia,123.0,50.0,2.8,69.4,82.2,56.7
2021,5,Hawaii,,,2.79,66.7,73.9,59.5
2021,5,Idaho,9.0,342.0,1.38,49.8,63.0,36.6
2021,5,Illinois,49.0,213.0,4.31,61.1,71.5,50.7
2021,5,Indiana,41.0,218.0,3.72,59.6,71.2,48.1
2021,5,Iowa,42.0,228.0,3.85,59.0,69.3,48.6
2021,5,Kansas,60.0,146.0,5.56,61.9,72.6,51.1
2021,5,Kentucky,61.0,144.0,3.57,62.4,74.4,50.4
2021,5,Louisiana,251.0,2.0,11.38,72.3,80.8,63.8
2021,5,Maine,0.0,337.0,2.74,52.4,64.9,39.8
